dataset,model,run_id,stage_name,wall_clock_seconds,share_of_profiled_time,rss_start_mb,rss_end_mb,rss_delta_mb,status
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_explicit_feedback_index,0.5222386999521405,0.0011742563447577749,191.16796875,197.37109375,6.203125,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_fit_artifacts,0.8473891000030562,0.001905358655435453,181.08984375,197.37109375,16.28125,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_model_config,4.050001734867692e-05,9.106449280538215e-08,180.97265625,180.98046875,0.0078125,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_rating_metrics,0.34810030000517145,0.000782705276209169,273.02734375,274.921875,1.89453125,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_training_indices,0.8473123000003397,0.0019051859702428858,181.08984375,197.37109375,16.28125,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_user_history_index,0.32500639994395897,0.0007307785257125745,181.08984375,191.16796875,10.078125,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,fit_model,438.50667919998523,0.9859844747553821,197.37109375,252.3125,54.94140625,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,initialize_model,2.2899999748915434e-05,5.14907646686845e-08,197.37109375,197.37109375,0.0,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,load_ratings_data,0.6757775999722071,0.0015194893340636528,137.49609375,180.90625,43.41015625,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,load_test_ratings,8.800008799880743e-06,1.978686406834883e-08,180.97265625,180.97265625,0.0,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,load_train_ratings,1.279998105019331e-05,2.87808218011155e-08,180.96875,180.96875,0.0,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,load_validation_ratings,1.729995710775256e-05,3.889904061050531e-08,180.96875,180.96875,0.0,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,predict_test,0.1258555999957025,0.00028298694989818614,270.7265625,273.0234375,2.296875,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,predict_train,1.3672042999533005,0.0030741657482438647,255.51953125,267.05859375,11.5390625,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,predict_validation,0.1175842999946326,0.00026438889022443654,267.05859375,270.7265625,3.66796875,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_dataset_manifest,0.010370500036515296,2.3318121516664345e-05,136.6328125,136.63671875,0.00390625,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_experiment_config,0.03615699999500066,8.129919643149254e-05,136.55078125,136.6328125,0.08203125,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_model_profile,0.011306400003377348,2.542249730162067e-05,136.63671875,136.65234375,0.015625,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_model_requirements,8.329999400302768e-05,1.873004556830123e-07,137.30859375,137.30859375,0.0,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_split_cache,0.2343817999935709,0.0005270086566993614,180.90625,180.96875,0.0625,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,resolve_split_cache_policy,2.2500054910779e-05,5.059148668760445e-08,136.75,136.75,0.0,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,validate_model_config,0.0001569000305607915,3.527905082399726e-07,136.65234375,136.74609375,0.09375,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_config_snapshot,0.14921049994882196,0.00033550055996509016,137.30859375,137.45703125,0.1484375,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_kernel_profile,0.055301700020208955,0.0001243461507746796,255.515625,255.51953125,0.00390625,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_metrics_json,0.06264129996998236,0.0001408492781947561,274.921875,274.9453125,0.0234375,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_performance_profile,0.04423330002464354,9.94587976882448e-05,276.40234375,276.4140625,0.01171875,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_run_manifest,0.40210529998876154,0.0009041357904264911,137.4609375,137.49609375,0.03515625,completed
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,write_run_manifest,0.05072249996010214,0.00011404979639690488,274.9453125,274.9453125,0.0,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_explicit_feedback_index,4.4875625999993645,0.007140799793757471,190.87890625,197.78515625,6.90625,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_fit_artifacts,4.978842200012878,0.007922544713918416,180.796875,197.78515625,16.98828125,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_model_config,6.470002699643373e-05,1.029534249688912e-07,180.71484375,180.71484375,0.0,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_rating_metrics,0.25117330002831295,0.0003996775998266441,270.94140625,274.765625,3.82421875,completed
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,build_training_indices,4.978803000005428,0.007922482337205251,180.796875,197.78515625,16.98828125,completed
