dataset,model,run_id,epochs,latent_dim,train_rows,fit_seconds_total,fit_seconds_per_epoch_mean,implicit_history_visits,explicit_history_visits,cluster_history_visits,estimated_factor_touches,fit_seconds_per_million_estimated_factor_touches
ml100k,biased_mf,2026-05-07T222923Z_ml100k_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,20,50,80030,1.600868100009393,0.08004340500046965,0,0,0,320120000,0.005000837498467427
ml1m,asvdpp,2026-05-08T010531Z_ml1m_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,20,50,800193,438.4701998999808,21.92350999499904,4994765860,4994765860,0,1002153944000,0.0004375277895428617
ml1m,asymmetric_svd,2026-05-08T005445Z_ml1m_asymmetric_svd_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,20,50,800193,608.581949999847,30.42909749999235,4994765860,4994765860,0,1002153944000,0.0006072739159921392
ml1m,biased_mf,2026-05-08T004817Z_ml1m_biased_mf_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,25,64,800193,14.677271999767981,0.5870908799907193,0,0,0,5121235200,0.002865963273814876
ml1m,cb_asvdpp,2026-05-08T011957Z_ml1m_cb_asvdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,20,64,800193,777.1013114001253,38.85506557000626,4994765860,4994765860,877047720,1395019156480,0.0005570542223670649
ml1m,cb_svdpp,2026-05-08T011336Z_ml1m_cb_svdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,20,64,800193,291.5751282001729,14.578756410008646,4994765860,0,877047720,755689126400,0.00038584004720194546
ml1m,svdpp,2026-05-08T004906Z_ml1m_svdpp_local_u300_24gb_benchmark_random_v1_tr080_va010_s001_s001,20,50,800193,278.9001348000602,13.94500674000301,4994765860,0,0,502677358000,0.0005548293161834836
